id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURlNy11SUFREAE,"Appa ji is really one of the best resturant manager in the hotel. Not only did he serve us heartily but also took our photos. The hotel is one of the best. I always make a night halt in this while traveling from pune to bhopal. Pure veg, no non sense people. Clean and spacious. Amazing food. Great hotel!", 3 months ago on   Google  ,2023-02-14 20:07:45.756994,5.0,Ishan Khare,0,0,https://www.google.com/maps/contrib/104224782477028975392/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUMtcnEtV0VREAE,Hotel did not give room to me Becuase of maintenance issue On the floor as this was Royal suit so I booked Superior room as after discussion with manager he said royal suit amount will refund you.. On same date I booked 2 rooms and 2 times full payment by make my trip.. Now make my trip not responding for amount and no refunded by hotel..., 3 months ago on   Google  ,2023-02-14 20:07:45.762323,1.0,Amit Singh,0,0,https://www.google.com/maps/contrib/105117445181439325983/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURlM3NyT05nEAE,"Hotel is very good, staff is good but little lazy in room service. Food is amazing and Chef is an excellent person.", 4 months ago on   Google  ,2023-02-14 20:07:45.768885,4.0,Parilesh Jain,0,0,https://www.google.com/maps/contrib/107580185746890844431/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNPd3FmMkdBEAE,"average good, good ambience with worst staff and their attitude. they behave as they owning a 5start hotel but in reality they treat clients like a roadside dhaba.  i have a video proof of that staff who was taking order, will post it on Youtube As ' Chapri Staff Of Jhankar Palace'", 3 months ago on   Google  ,2023-02-14 20:07:45.782803,1.0,Bharat Jain,0,0,https://www.google.com/maps/contrib/117122429903212736187/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUMtOG9xR3ZBRRAB,Kudos to whole hotel staff and specially restaurant.. food was amazing and service was above few so called 5*, 3 months ago on   Google  ,2023-02-14 20:07:45.786755,5.0,malay trivedi,0,0,https://www.google.com/maps/contrib/113069779156233345533/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUQtcmJTc0RBEAE,The rooms and room service was good. Ample space outside. Recommended for stay and functions., 2 months ago on   Google  ,2023-02-14 20:07:45.789693,4.0,bhaiyya patil,0,0,https://www.google.com/maps/contrib/110629191534594966898/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUQtMmFIM3NnRRAB,The room was full of cockroaches and when I complained they provided me a hit to kill them. In morning there was no water and we had to wait for 2 hours to get it fixed., 2 months ago on   Google  ,2023-02-14 20:07:45.794603,1.0,Ashish Pandita,0,0,https://www.google.com/maps/contrib/113137736970602797331/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUMyaHQzR2ZREAE,"Nice property at Dhule. Rooms were spacious , neat and clean. Food was delicious served hot even in late night. Staff was cooperative. Only issue was with lift which was too slow. Property owner should add one more lift in the hotel.", 9 months ago on   Google  ,2023-02-14 20:07:45.798631,5.0,Aditya Vaidya,0,0,https://www.google.com/maps/contrib/106534583736705195066/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURPLTRIV1JBEAE,Firstly they should mention their hotel's full name on the map. Because of wrong name i got to the wrong address.... Rooms were great...but the hotel needs some renovations in common areas like sofas and lift..., 6 months ago on   Google  ,2023-02-14 20:07:45.801349,4.0,Mayur Chhajed,0,0,https://www.google.com/maps/contrib/100490074349523842032/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUQtMmQzSHp3RRAB,The room was full of insects and no water in the morning to bath. You will get many other good options in the same budget., 2 months ago on   Google  ,2023-02-14 20:07:45.813683,1.0,ruchi pune,0,0,https://www.google.com/maps/contrib/116958357559153812796/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURPZzV6dzZBRRAB,"Had visited Amalner, Jalgaon for a business visit and could bot find a single decent and hygienic place to stay in Amalner. That's when someone suggested this place in Dhule which is about an hours drive and it was truely a saviour. Offers decent rooms, food and service. Location is good and is just adjacent to Mumbai highway. The price tag is decent as well!", 7 months ago on   Google  ,2023-02-14 20:07:53.856820,4.0,Ritesh R. Naik,0,0,https://www.google.com/maps/contrib/105306456284022326466/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUN1NHRMcjNnRRAB,"Staff is lethargic and inattentive....No tissues, dental kit and food menu... place for breakfast is not denoted and will make you search atleast for 5 mins... Ground floor of the adjacent property was stinking....only 1 lift available.... Breakfast was limited and Ok... Breakfast service was poor... Surprisingly, room dine in was amazing.... I was asked for the full payment without checking the pre book status.", 6 months ago on   Google  ,2023-02-14 20:07:53.859348,2.0,Sanket Soni,0,0,https://www.google.com/maps/contrib/100463304438485691705/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNPMHAtSk9nEAE,"Worst Staff, average food, person who takes order is very arrogant. I request hotel owners to come as a guest sometime to check the attitude of der staff or workers everymonth. Jhankar palace staff is now really worse. They are degrading the image of hotel.", 8 months ago on   Google  ,2023-02-14 20:07:53.861406,1.0,Kavita Jain,0,0,https://www.google.com/maps/contrib/105541018403054576963/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUR1c2JDdld3EAE,"After a tiring road journey, it was a pleasure to walk into a neat and clean hotel with nice ambience, courteous and smiling staff and good food.", 5 months ago on   Google  ,2023-02-14 20:07:53.864389,5.0,Ol Tyagi,0,0,https://www.google.com/maps/contrib/100392497758184038320/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURlcUx5WTd3RRAB,Rooms quality is not good Rooms are ok ok Service good but price of room doesn't sute room, 4 months ago on   Google  ,2023-02-14 20:07:53.866927,2.0,akshay mane,0,0,https://www.google.com/maps/contrib/101355595323280931788/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURHMHNqWVpREAE,"Service not good and Room had one or another maintenance issues whether it be standard room or royal suite.I stayed in 1st week of Dec 2021,it was peak of wedding time in this vicinity and this property so no proper hot water.This hot water issues is been there since past 1 year and more.  Staff was polite but lack a bit of professional approach specially may be because of  unwanted intervention by hotel owner in day to day operations.  I saw him shouting at one young lady stating this is my property and you can leave.This type of behavior does not reciprocate an owner approach.  All in all not a good stay for business trip because everytime you will see entire new staff(may be because of owner not giving them proper facilities/salaries) but due to limited options in Dhule, travellers usually goes there but have heard that 2-3 premium competitors are coming up with new venture in the vicinity.", 8 months ago on   Google  ,2023-02-14 20:07:53.869663,1.0,Gurudev ji,0,0,https://www.google.com/maps/contrib/100377007286960009639/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURPeThiYzFRRRAB,Overpriced executive rooms in terms of standards & amenities. Breakfast is below sub standard. Very poor condition of the bathrooms. Would not recommend at all., 7 months ago on   Google  ,2023-02-14 20:07:53.872750,2.0,AK VI,0,0,https://www.google.com/maps/contrib/106398362269188788826/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUQtdi02MEZ3EAE,Harish Ji was excellent manager An epitome of a manager. Highly appreciated service., 2 months ago on   Google  ,2023-02-14 20:07:53.874845,5.0,Shlok khandelwal,0,0,https://www.google.com/maps/contrib/100798288195504226205/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUQyczVDWVh3EAE,"Located near Dhule Gurudwara on Mumbai Agra road (service road junction). Hotel room is specious n clean. Bathroom needs deep cleaning. Only veg food, no bar or nonveg. Secure parking.", 8 months ago on   Google  ,2023-02-14 20:07:53.877130,3.0,shrikant kulange,0,0,https://www.google.com/maps/contrib/113081095259939383890/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNlNXNPQzRRRRAB,Amazing service and hospitality by the breakfast team Chef Harish ji …. Thankyou for the on request quick service, 5 months ago on   Google  ,2023-02-14 20:07:53.879534,3.0,Ingrid Loy,0,0,https://www.google.com/maps/contrib/117578115541634218615/reviews?hl=en-US
