id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNoN3FyMHJBRRAB,, 21 hours ago on   Google  ,2023-02-14 17:01:01.307216,5,gulab patil,0,0,https://www.google.com/maps/contrib/118233622194517679737/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNoenNXM2J3EAE,, a day ago on   Google  ,2023-02-14 17:01:01.310045,5,UMAR FAROOQUE,0,0,https://www.google.com/maps/contrib/110608288201833932449/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNoeHZPY25BRRAB,"Best food , best quality, best service ,best ambiance", 2 days ago on   Google  ,2023-02-14 17:01:01.312253,5,Tejas Jain,0,0,https://www.google.com/maps/contrib/116028877501568270878/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNoeHJQcE93EAE,"Best food , best quality, best service , best ambiance", 2 days ago on   Google  ,2023-02-14 17:01:01.313345,5,TANMAY PAWAR,0,0,https://www.google.com/maps/contrib/102742816793814598780/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNodXRmYTNBRRAB,The stay was pleasant. The food was delicious specially breakfast part.  Highly recommended to professionals who are travelling to Dhule, 3 days ago on   Google  ,2023-02-14 17:01:01.314644,5,Amit Pathare,0,0,https://www.google.com/maps/contrib/108670484869370359698/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNoeXNudWlBRRAB,It was nice experience to have Breakfast, 4 days ago on   Google  ,2023-02-14 17:01:01.315712,5,rahul kumar,0,0,https://www.google.com/maps/contrib/107343550130936645090/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNoaXZTaWZ3EAE,, 4 days ago on   Google  ,2023-02-14 17:01:01.316956,4,Kaustubh Pawar,0,0,https://www.google.com/maps/contrib/114155225584780720098/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUQtNExYSk53EAE,, 4 days ago on   Google  ,2023-02-14 17:01:01.318664,5,Rahul Petkar,0,0,https://www.google.com/maps/contrib/103053878709337372494/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNoOElHTEhnEAE,, a week ago on   Google  ,2023-02-14 17:01:01.320375,1,Mohamad Sk,0,0,https://www.google.com/maps/contrib/109394931464437951444/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNoZ0s3ZjF3RRAB,, a week ago on   Google  ,2023-02-14 17:01:01.322013,4,Mohit Desale,0,0,https://www.google.com/maps/contrib/101316010288537409746/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURCcjdfM053EAE,, a week ago on   Google  ,2023-02-14 17:01:08.205296,5,Pappu Ninama,0,0,https://www.google.com/maps/contrib/102346089822472773164/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURCNC1QamVBEAE,, 2 weeks ago on   Google  ,2023-02-14 17:01:08.206481,5,Neeta Hatkar,0,0,https://www.google.com/maps/contrib/103381987427023163599/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURCbzZMeDhRRRAB,Excellent services... I left my clothes in room after the check out... But housekeeping staff (Raman Kumar)  was awesome he kept that with him and gave back to me again... thankyou..., 2 weeks ago on   Google  ,2023-02-14 17:01:08.207544,5,Virbhushan Pawar,0,0,https://www.google.com/maps/contrib/109754062591948214096/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURCNmZYVVZ3EAE,Beautiful😍✨❤ …, 3 weeks ago on   Google  ,2023-02-14 17:01:08.208581,5,Mayur Avhad (manny),0,0,https://www.google.com/maps/contrib/110407280353658240001/reviews?hl=en-US
